# attr	disposition	owner_or_disproof	expected_after
chipGroupStyle	CLEARED	no <com.google.android.material.chip.ChipGroup tag in app/src/main/res/layout, no chip/ChipGroup class in app bytecode (LC_ALL=C grep -r --include='*.class' over app/build/{tmp/kotlin-classes/debug,intermediates/javac/debug}), and no style="?attr/chipGroupStyle" in any layout	
chipStandaloneStyle	CLEARED	material reader is chip/ChipDrawable (ChipDrawable.createFromResource for <chip> drawables); app bytecode references chip/Chip only, never ChipDrawable, and no style="?attr/chipStandaloneStyle"	
chipStyle	NAMED	6	eu.mikus.edziennik:style/Widget.Material3.Chip.Assist
circularProgressIndicatorStyle	CLEARED	material readers are progressindicator/CircularProgressIndicator{,Spec}; the app's only progressindicator class is LinearProgressIndicator (the CircularProgressIndicator symbols in app bytecode are com.antonKozyriatskyi and Compose material3)	
collapsingToolbarLayoutLargeSize	CLEARED	material reader is appbar/CollapsingToolbarLayout; no CollapsingToolbarLayout tag in res/layout and no appbar/CollapsingToolbarLayout in app bytecode	
collapsingToolbarLayoutLargeStyle	CLEARED	material reader is appbar/CollapsingToolbarLayout; no CollapsingToolbarLayout tag in res/layout and no appbar/CollapsingToolbarLayout in app bytecode	
collapsingToolbarLayoutMediumSize	CLEARED	material reader is appbar/CollapsingToolbarLayout; no CollapsingToolbarLayout tag in res/layout and no appbar/CollapsingToolbarLayout in app bytecode	
collapsingToolbarLayoutMediumStyle	CLEARED	material reader is appbar/CollapsingToolbarLayout; no CollapsingToolbarLayout tag in res/layout and no appbar/CollapsingToolbarLayout in app bytecode	
collapsingToolbarLayoutStyle	CLEARED	material reader is appbar/CollapsingToolbarLayout; no CollapsingToolbarLayout tag in res/layout and no appbar/CollapsingToolbarLayout in app bytecode	
colorError	NAMED	E	
colorOnError	NAMED	E	
drawerLayoutStyle	CLEARED	no DrawerLayout tag in res/layout and no drawerlayout class in app bytecode (navlib was dropped in Phase 32); the only source hits are comments in ui/shell/AppScaffold.kt:39,:145	
dynamicColorThemeOverlay	CLEARED	the only class in material-1.6.1 that reads it is color/DynamicColors (LC_ALL=C grep over the extracted classes.jar); app bytecode contains no DynamicColors reference	
elevationOverlayColor	NAMED	V/V-L	
elevationOverlayEnabled	NAMED	V-L	bool=true
extendedFloatingActionButtonPrimaryStyle	CLEARED	material reader is floatingactionbutton/ExtendedFloatingActionButton; absent from res/layout and from app bytecode (the ExtendedFloatingActionButton symbol in app bytecode is androidx.compose.material3)	
extendedFloatingActionButtonSecondaryStyle	CLEARED	material reader is floatingactionbutton/ExtendedFloatingActionButton; absent from res/layout and from app bytecode (the ExtendedFloatingActionButton symbol in app bytecode is androidx.compose.material3)	
extendedFloatingActionButtonStyle	CLEARED	material reader is floatingactionbutton/ExtendedFloatingActionButton; absent from res/layout and from app bytecode (the ExtendedFloatingActionButton symbol in app bytecode is androidx.compose.material3)	
extendedFloatingActionButtonSurfaceStyle	CLEARED	material reader is floatingactionbutton/ExtendedFloatingActionButton; absent from res/layout and from app bytecode (the ExtendedFloatingActionButton symbol in app bytecode is androidx.compose.material3)	
extendedFloatingActionButtonTertiaryStyle	CLEARED	material reader is floatingactionbutton/ExtendedFloatingActionButton; absent from res/layout and from app bytecode (the ExtendedFloatingActionButton symbol in app bytecode is androidx.compose.material3)	
floatingActionButtonLargePrimaryStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonLargeSecondaryStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonLargeStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonLargeSurfaceStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonLargeTertiaryStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonPrimaryStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonSecondaryStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonSurfaceStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
floatingActionButtonTertiaryStyle	CLEARED	material reader is floatingactionbutton/FloatingActionButton; absent from res/layout and from app bytecode (the FAB symbols in app bytecode are androidx.compose.material3)	
isMaterial3Theme	CLEARED	no class in material-1.6.1's classes.jar references isMaterial3Theme (LC_ALL=C grep over the extracted jar) and no material or appcompat style reads ?attr/isMaterial3Theme - it is a declarative marker with no reader	
linearProgressIndicatorStyle	NAMED	7	eu.mikus.edziennik:style/Widget.Material3.LinearProgressIndicator
listPopupWindowStyle	NAMED	9c	eu.mikus.edziennik:style/Widget.Material3.PopupMenu.ListPopupWindow
materialButtonOutlinedStyle	CLEARED	the only ?attr/materialButtonOutlinedStyle consumers are material_clock_period_toggle{,_land}.xml, and both ThemeOverlay.MaterialComponents.TimePicker and ThemeOverlay.Material3.MaterialTimePicker re-pin the attribute themselves; the toggle is also android:visibility="gone" at CLOCK_24H, which both call sites force	
materialButtonStyle	NAMED	3	eu.mikus.edziennik:style/Widget.Material3.Button
materialCalendarFullscreenTheme	CLEARED	the only class reading it is datepicker/RangeDateSelector.getDefaultThemeResId; all three pickers use MaterialDatePicker.Builder.datePicker() (SingleDateSelector) - EventManualDialog.kt:614, GenerateBlockTimetableDialog.kt:121, TimetableFragment.kt:144 - and no XML references it	
materialCalendarStyle	CLEARED	MaterialDatePicker reads it off Dialog.getContext() (javap: isFullscreen(Dialog.getContext()), MaterialShapeDrawable(dialogContext, null, R.attr.materialCalendarStyle)), a context already themed by materialCalendarTheme -> ThemeOverlay.*.MaterialCalendar, which sets materialCalendarStyle itself; both generations' style sets android:windowFullscreen=false and neither sets nestedScrollable	
materialCalendarTheme	NAMED	9a	eu.mikus.edziennik:style/ThemeOverlay.Material3.MaterialCalendar
materialCardViewElevatedStyle	CLEARED	nothing references ?attr/materialCardViewElevatedStyle in material, appcompat or the app; MaterialCardView's defStyleAttr is materialCardViewStyle (entry 1a)	
materialCardViewFilledStyle	CLEARED	nothing references ?attr/materialCardViewFilledStyle in material, appcompat or the app; MaterialCardView's defStyleAttr is materialCardViewStyle (entry 1a)	
materialCardViewOutlinedStyle	NAMED	1a	eu.mikus.edziennik:style/Widget.Material3.CardView.Outlined
materialCardViewStyle	NAMED	1a	eu.mikus.edziennik:style/Widget.Material3.CardView.Outlined
materialDividerHeavyStyle	CLEARED	material readers are divider/MaterialDivider and divider/MaterialDividerItemDecoration; neither appears in res/layout or app bytecode	
materialDividerStyle	CLEARED	material readers are divider/MaterialDivider and divider/MaterialDividerItemDecoration; neither appears in res/layout or app bytecode	
materialTimePickerTheme	NAMED	9b	eu.mikus.edziennik:style/ThemeOverlay.Material3.MaterialTimePicker
motionDurationLong1	CLEARED	the only material-1.6.1 classes reading any motion* attribute are transition.*, floatingactionbutton/FloatingActionButtonImpl and navigation/NavigationBar{Item,Menu}View (LC_ALL=C grep over the extracted classes.jar); app bytecode references none of them, and no material or appcompat style/layout references ?attr/motion*	
motionDurationLong2	CLEARED	no class in material-1.6.1's classes.jar reads it at all (LC_ALL=C grep over the extracted jar) and no material or appcompat style/layout references ?attr/motionDurationLong2	
motionDurationMedium1	CLEARED	no class in material-1.6.1's classes.jar reads it at all (LC_ALL=C grep over the extracted jar) and no material or appcompat style/layout references ?attr/motionDurationMedium1	
motionDurationMedium2	CLEARED	the only material-1.6.1 classes reading any motion* attribute are transition.*, floatingactionbutton/FloatingActionButtonImpl and navigation/NavigationBar{Item,Menu}View (LC_ALL=C grep over the extracted classes.jar); app bytecode references none of them, and no material or appcompat style/layout references ?attr/motion*	
motionDurationShort1	CLEARED	the only material-1.6.1 classes reading any motion* attribute are transition.*, floatingactionbutton/FloatingActionButtonImpl and navigation/NavigationBar{Item,Menu}View (LC_ALL=C grep over the extracted classes.jar); app bytecode references none of them, and no material or appcompat style/layout references ?attr/motion*	
motionDurationShort2	CLEARED	the only material-1.6.1 classes reading any motion* attribute are transition.*, floatingactionbutton/FloatingActionButtonImpl and navigation/NavigationBar{Item,Menu}View (LC_ALL=C grep over the extracted classes.jar); app bytecode references none of them, and no material or appcompat style/layout references ?attr/motion*	
motionEasingAccelerated	CLEARED	no class in material-1.6.1's classes.jar reads it at all (LC_ALL=C grep over the extracted jar) and no material or appcompat style/layout references ?attr/motionEasingAccelerated	
motionEasingDecelerated	CLEARED	no class in material-1.6.1's classes.jar reads it at all (LC_ALL=C grep over the extracted jar) and no material or appcompat style/layout references ?attr/motionEasingDecelerated	
motionEasingEmphasized	CLEARED	no class in material-1.6.1's classes.jar reads it at all (LC_ALL=C grep over the extracted jar) and no material or appcompat style/layout references ?attr/motionEasingEmphasized	
motionEasingLinear	CLEARED	the only material-1.6.1 classes reading any motion* attribute are transition.*, floatingactionbutton/FloatingActionButtonImpl and navigation/NavigationBar{Item,Menu}View (LC_ALL=C grep over the extracted classes.jar); app bytecode references none of them, and no material or appcompat style/layout references ?attr/motion*	
motionEasingStandard	CLEARED	the only material-1.6.1 classes reading any motion* attribute are transition.*, floatingactionbutton/FloatingActionButtonImpl and navigation/NavigationBar{Item,Menu}View (LC_ALL=C grep over the extracted classes.jar); app bytecode references none of them, and no material or appcompat style/layout references ?attr/motion*	
navigationRailStyle	CLEARED	material reader is navigationrail/NavigationRailView; absent from res/layout and app bytecode (the NavigationRail symbols are androidx.compose.material3)	
navigationViewStyle	CLEARED	material reader is navigation/NavigationView; absent from res/layout and app bytecode (navlib, its only former consumer, was dropped in Phase 32)	
popupMenuBackground	NAMED	9c	eu.mikus.edziennik:drawable/m3_popupmenu_background_overlay
popupMenuStyle	NAMED	9c	eu.mikus.edziennik:style/Widget.Material3.PopupMenu
radioButtonStyle	NAMED	5	eu.mikus.edziennik:style/Widget.Material3.CompoundButton.RadioButton
shapeAppearanceLargeComponent	CLEARED	the only ?attr/shapeAppearanceLargeComponent consumer in material or appcompat is Widget.MaterialComponents.BottomSheet, and the app builds no BottomSheetDialog/BottomSheetBehavior (no com/google/android/material/bottomsheet in app bytecode; the sheet is Compose)	
shapeAppearanceMediumComponent	NAMED	2a	eu.mikus.edziennik:style/ShapeAppearance.Material3.MediumComponent
shapeAppearanceSmallComponent	NAMED	3-zero	eu.mikus.edziennik:style/ShapeAppearance.Material3.SmallComponent
sliderStyle	CLEARED	material readers are slider/{Slider,RangeSlider,BaseSlider}; none appears in res/layout or app bytecode (the Slider symbols are androidx.compose.material3; the one <SeekBar> follows android:seekBarStyle)	
snackbarButtonStyle	CLEARED	material reader is snackbar/Snackbar; app bytecode references no com/google/android/material/snackbar class (MainSnackbar/ErrorSnackbar are app types and SnackbarHost is Compose material3)	
snackbarStyle	CLEARED	material reader is snackbar/BaseTransientBottomBar; app bytecode references no com/google/android/material/snackbar class	
snackbarTextViewStyle	CLEARED	material reader is snackbar/Snackbar; app bytecode references no com/google/android/material/snackbar class	
switchStyle	CLEARED	no <Switch>, <SwitchCompat> or SwitchMaterial in res/layout or app/src/main/java; the material reader switchmaterial/SwitchMaterial is absent from app bytecode and MaterialComponentsViewInflater substitutes no Switch	
tabSecondaryStyle	CLEARED	nothing references ?attr/tabSecondaryStyle in material, appcompat or the app; TabLayout's defStyleAttr is tabStyle (entry TAB) and the one TabLayout tag (template_fragment.xml:14) is style-less	
tabStyle	NAMED	TAB	eu.mikus.edziennik:style/Widget.Material3.TabLayout
textAppearanceBodyLarge	NAMED	9c	eu.mikus.edziennik:style/TextAppearance.Material3.BodyLarge
textAppearanceBodyMedium	NAMED	5	eu.mikus.edziennik:style/TextAppearance.Material3.BodyMedium
textAppearanceBodySmall	NAMED	9b	eu.mikus.edziennik:style/TextAppearance.Material3.BodySmall
textAppearanceDisplayLarge	NAMED	9b	eu.mikus.edziennik:style/TextAppearance.Material3.DisplayLarge
textAppearanceDisplayMedium	CLEARED	no ?attr/textAppearanceDisplayMedium reference in material or appcompat values/layouts and no material class reads it	
textAppearanceDisplaySmall	CLEARED	no ?attr/textAppearanceDisplaySmall reference in material or appcompat values/layouts and no material class reads it	
textAppearanceHeadlineLarge	NAMED	9a	eu.mikus.edziennik:style/TextAppearance.Material3.HeadlineLarge
textAppearanceHeadlineMedium	NAMED	9b	eu.mikus.edziennik:style/TextAppearance.Material3.HeadlineMedium
textAppearanceHeadlineSmall	CLEARED	its three consumers are all unreachable: MaterialAlertDialog.Material3.Title.Text (§8.3 keeps AppTheme.MaterialAlertDialog on the MaterialComponents overlay and styles.xml:75 pins materialAlertDialogTitleTextStyle), Widget.Material3.CollapsingToolbar{,.Medium} (no CollapsingToolbarLayout), and Widget.Material3.MaterialCalendar.HeaderSelection.Fullscreen (fullscreen is never selected - see materialCalendarFullscreenTheme)	
textAppearanceLabelLarge	NAMED	3	eu.mikus.edziennik:style/TextAppearance.Material3.LabelLarge
textAppearanceLabelMedium	NAMED	9a	eu.mikus.edziennik:style/TextAppearance.Material3.LabelMedium
textAppearanceLabelSmall	CLEARED	no ?attr/textAppearanceLabelSmall reference in material or appcompat values/layouts and no material class reads it	
textAppearanceLargePopupMenu	NAMED	9c	eu.mikus.edziennik:style/TextAppearance.Material3.BodyLarge
textAppearanceListItem	CLEARED	no ?attr/textAppearanceListItem reference in appcompat or material layouts/values; all 8 <ListView> tags are in RemoteViews widget_*/row_widget_* layouts (launcher-hosted, §7 entry 11); no Spinner and no onCreateOptionsMenu in app bytecode; and MaterialAlertDialog.MaterialComponents pins listItemLayout/singleChoiceItemLayout/multiChoiceItemLayout to mtrl_alert_select_dialog_*, none of which set a textAppearance	
textAppearanceListItemSecondary	CLEARED	no ?attr/textAppearanceListItemSecondary reference in appcompat or material layouts/values; all 8 <ListView> tags are in RemoteViews widget_*/row_widget_* layouts (launcher-hosted, §7 entry 11); no Spinner and no onCreateOptionsMenu in app bytecode; and MaterialAlertDialog.MaterialComponents pins listItemLayout/singleChoiceItemLayout/multiChoiceItemLayout to mtrl_alert_select_dialog_*, none of which set a textAppearance	
textAppearanceListItemSmall	CLEARED	consumers are appcompat's abc_list_menu_item_layout.xml (ListMenuPresenter's options-menu panel - the app declares no onCreateOptionsMenu) and select_dialog_item_material.xml (replaced by MaterialAlertDialog.MaterialComponents's listItemLayout=mtrl_alert_select_dialog_item)	
textAppearanceSmallPopupMenu	NAMED	9c	eu.mikus.edziennik:style/TextAppearance.Material3.BodyLarge
textAppearanceTitleLarge	NAMED	T	eu.mikus.edziennik:style/TextAppearance.Material3.TitleLarge
textAppearanceTitleMedium	NAMED	9b	eu.mikus.edziennik:style/TextAppearance.Material3.TitleMedium
textAppearanceTitleSmall	NAMED	9a	eu.mikus.edziennik:style/TextAppearance.Material3.TitleSmall
textInputFilledDenseStyle	CLEARED	nothing references ?attr/textInputFilledDenseStyle outside Base.V14.Theme.Material3.*'s own textInputStyle chain; the 4 XML TextInputLayout tags pin literal @style/Widget.MaterialComponents.TextInputLayout.* and the code-built one (RichTextFieldBridge.kt:94) follows textInputStyle, pinned by 33a at styles.xml:184,:251	
textInputFilledExposedDropdownMenuStyle	CLEARED	nothing references ?attr/textInputFilledExposedDropdownMenuStyle outside Base.V14.Theme.Material3.*'s own textInputStyle chain; the 4 XML TextInputLayout tags pin literal @style/Widget.MaterialComponents.TextInputLayout.* and the code-built one (RichTextFieldBridge.kt:94) follows textInputStyle, pinned by 33a at styles.xml:184,:251	
textInputFilledStyle	CLEARED	nothing references ?attr/textInputFilledStyle outside Base.V14.Theme.Material3.*'s own textInputStyle chain; the 4 XML TextInputLayout tags pin literal @style/Widget.MaterialComponents.TextInputLayout.* and the code-built one (RichTextFieldBridge.kt:94) follows textInputStyle, pinned by 33a at styles.xml:184,:251	
textInputOutlinedDenseStyle	CLEARED	nothing references ?attr/textInputOutlinedDenseStyle outside Base.V14.Theme.Material3.*'s own textInputStyle chain; the 4 XML TextInputLayout tags pin literal @style/Widget.MaterialComponents.TextInputLayout.* and the code-built one (RichTextFieldBridge.kt:94) follows textInputStyle, pinned by 33a at styles.xml:184,:251	
textInputOutlinedExposedDropdownMenuStyle	CLEARED	the only reference is material's own test_exposed_dropdown_menu.xml; the app has no MaterialAutoCompleteTextView and no exposed-dropdown TextInputLayout	
textInputOutlinedStyle	CLEARED	its only consumer is textInputStyle (Base.V14.Theme.Material3.* -> ?attr/textInputOutlinedStyle), which 33a pins to @style/Widget.MaterialComponents.TextInputLayout.FilledBox at styles.xml:184,:251	
toolbarStyle	NAMED	T	eu.mikus.edziennik:style/Widget.Material3.Toolbar
toolbarSurfaceStyle	CLEARED	nothing references ?attr/toolbarSurfaceStyle in material or appcompat and no material class reads it; the one androidx.appcompat.widget.Toolbar (activity_build_invalid.xml:13) follows toolbarStyle (entry T)	
colorErrorContainer	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorOnErrorContainer	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorOnPrimaryContainer	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorOnSecondaryContainer	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorOnSurfaceInverse	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorOnSurfaceVariant	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorOnTertiary	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorOnTertiaryContainer	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorOutline	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
colorPrimaryContainer	PINNED	§5.2 class-(b) role pinned by 33a (styles.xml AppTheme.Light/.Dark); must appear in neither the changed nor the added set	
